id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
nltzc,2440,vectorized_logs,1706523270.710849,1706523270.7114003,1706523270.7335703,1706523270.7347593,1706523270.7879322,405
nltzc,2441,vectorized_logs,1706523270.9117656,1706523270.9122903,1706523270.9334662,1706523270.9346855,1706523270.9910235,408
nltzc,2442,vectorized_logs,1706523271.1125185,1706523271.1130507,1706523271.1349676,1706523271.136172,1706523271.1863186,405
nltzc,2443,vectorized_logs,1706523271.3133664,1706523271.3139899,1706523271.3350537,1706523271.335901,1706523271.3884423,393
nltzc,2444,vectorized_logs,1706523271.5159972,1706523271.5165286,1706523271.5379803,1706523271.538929,1706523271.5956233,404
nltzc,2445,vectorized_logs,1706523271.7167966,1706523271.7173176,1706523271.738274,1706523271.7393577,1706523271.7984679,403
nltzc,2446,vectorized_logs,1706523271.917592,1706523271.9181647,1706523271.9394038,1706523271.9409232,1706523271.9994564,410
nltzc,2447,vectorized_logs,1706523272.1184418,1706523272.11897,1706523272.1405494,1706523272.1417432,1706523272.1867707,394
nltzc,2448,vectorized_logs,1706523272.3192494,1706523272.3199754,1706523272.34099,1706523272.3422263,1706523272.3992238,391
nltzc,2449,vectorized_logs,1706523272.5202317,1706523272.5207314,1706523272.541594,1706523272.542754,1706523272.5937555,397
nltzc,2450,vectorized_logs,1706523272.7210467,1706523272.7215538,1706523272.7419016,1706523272.7430975,1706523272.7991066,406
nltzc,2451,vectorized_logs,1706523272.9217877,1706523272.922327,1706523272.9440637,1706523272.9453762,1706523272.9987297,400
nltzc,2452,vectorized_logs,1706523273.12253,1706523273.123042,1706523273.14416,1706523273.1452932,1706523273.1938071,403
nltzc,2453,vectorized_logs,1706523273.3234017,1706523273.3240047,1706523273.3445768,1706523273.345854,1706523273.404565,404
nltzc,2454,vectorized_logs,1706523273.5243347,1706523273.524854,1706523273.5456467,1706523273.5469272,1706523273.6059864,406
nltzc,2455,vectorized_logs,1706523273.72521,1706523273.7257276,1706523273.747065,1706523273.7483218,1706523273.8058343,401
nltzc,2456,vectorized_logs,1706523273.9260716,1706523273.9265914,1706523273.948418,1706523273.9495194,1706523274.0097315,401
nltzc,2457,vectorized_logs,1706523274.1269317,1706523274.1274464,1706523274.1499743,1706523274.15115,1706523274.2068076,395
nltzc,2458,vectorized_logs,1706523274.3278062,1706523274.3283641,1706523274.350119,1706523274.3514943,1706523274.4073544,402
nltzc,2459,vectorized_logs,1706523274.5286846,1706523274.5291834,1706523274.5496745,1706523274.5510144,1706523274.6024108,396
nltzc,2460,vectorized_logs,1706523274.729533,1706523274.7300436,1706523274.7505982,1706523274.7520185,1706523274.8116093,404
nltzc,2461,vectorized_logs,1706523274.930399,1706523274.930918,1706523274.9513597,1706523274.9524434,1706523275.0036576,410
nltzc,2462,vectorized_logs,1706523275.131247,1706523275.1317952,1706523275.1526628,1706523275.1538775,1706523275.2039247,397
nltzc,2463,vectorized_logs,1706523275.3321013,1706523275.3326225,1706523275.3552637,1706523275.3564959,1706523275.4103906,408
nltzc,2464,vectorized_logs,1706523275.5329165,1706523275.533449,1706523275.5541878,1706523275.5555375,1706523275.6122575,398
nltzc,2465,vectorized_logs,1706523275.733781,1706523275.734275,1706523275.7544444,1706523275.755645,1706523275.811942,404
nltzc,2466,vectorized_logs,1706523275.9346244,1706523275.9351404,1706523275.9569972,1706523275.9581108,1706523276.0067382,405
nltzc,2467,vectorized_logs,1706523276.137779,1706523276.1383307,1706523276.1606617,1706523276.1619837,1706523276.21932,399
nltzc,2468,vectorized_logs,1706523276.3385444,1706523276.3390992,1706523276.3604834,1706523276.3618336,1706523276.4105818,398
nltzc,2469,vectorized_logs,1706523276.5393496,1706523276.539861,1706523276.5604353,1706523276.5617115,1706523276.6130903,502
nltzc,2470,vectorized_logs,1706523276.7399209,1706523276.7404466,1706523276.7611644,1706523276.7623625,1706523276.8178363,404
nltzc,2471,vectorized_logs,1706523276.9406807,1706523276.9411843,1706523276.9614947,1706523276.9628043,1706523277.0201828,399
nltzc,2472,vectorized_logs,1706523277.141509,1706523277.1420362,1706523277.163462,1706523277.1647112,1706523277.222478,394
nltzc,2473,vectorized_logs,1706523277.3423727,1706523277.342887,1706523277.3643737,1706523277.3656213,1706523277.4164066,398
nltzc,2474,vectorized_logs,1706523277.5432189,1706523277.5437477,1706523277.564217,1706523277.5655181,1706523277.6114714,400
nltzc,2475,vectorized_logs,1706523277.7440717,1706523277.7445817,1706523277.7650895,1706523277.766329,1706523277.8143597,402
nltzc,2476,vectorized_logs,1706523277.9448688,1706523277.945381,1706523277.9662817,1706523277.9675746,1706523278.0161848,400
nltzc,2477,vectorized_logs,1706523278.1457117,1706523278.1462126,1706523278.1668117,1706523278.168027,1706523278.2233424,399
nltzc,2478,vectorized_logs,1706523278.346556,1706523278.3470657,1706523278.3680465,1706523278.3691845,1706523278.4236465,405
nltzc,2479,vectorized_logs,1706523278.5473614,1706523278.54815,1706523278.5689635,1706523278.5701292,1706523278.6280746,507
nltzc,2480,vectorized_logs,1706523278.747975,1706523278.74849,1706523278.7693048,1706523278.7705727,1706523278.8202906,407
nltzc,2481,vectorized_logs,1706523278.9487782,1706523278.9492686,1706523278.9697945,1706523278.970951,1706523279.026556,401
nltzc,2482,vectorized_logs,1706523279.149511,1706523279.1500192,1706523279.1709301,1706523279.1722844,1706523279.2210605,410
nltzc,2483,vectorized_logs,1706523279.3502436,1706523279.350741,1706523279.3728678,1706523279.374038,1706523279.4335198,403
nltzc,2484,vectorized_logs,1706523279.5509446,1706523279.5514786,1706523279.571668,1706523279.5729795,1706523279.6295466,407
nltzc,2485,vectorized_logs,1706523279.7517638,1706523279.7522779,1706523279.7727647,1706523279.774052,1706523279.8299453,403
nltzc,2486,vectorized_logs,1706523279.9526508,1706523279.953159,1706523279.973542,1706523279.9747753,1706523280.0283492,402
nltzc,2487,vectorized_logs,1706523280.153559,1706523280.154528,1706523280.1761246,1706523280.17743,1706523280.232335,404
nltzc,2488,vectorized_logs,1706523280.3543968,1706523280.354918,1706523280.3752894,1706523280.3769586,1706523280.425737,400
nltzc,2489,vectorized_logs,1706523280.5551624,1706523280.5556931,1706523280.5763109,1706523280.5775168,1706523280.6259205,401
nltzc,2490,vectorized_logs,1706523280.7560563,1706523280.7565894,1706523280.7780554,1706523280.779257,1706523280.8370306,407
nltzc,2491,vectorized_logs,1706523280.9568317,1706523280.9573479,1706523280.9779427,1706523280.978899,1706523281.034053,407
nltzc,2492,vectorized_logs,1706523281.157729,1706523281.1582506,1706523281.1794107,1706523281.1804466,1706523281.234834,394
nltzc,2493,vectorized_logs,1706523281.3584933,1706523281.359044,1706523281.3801556,1706523281.381322,1706523281.4416337,407
nltzc,2494,vectorized_logs,1706523281.5593963,1706523281.5600915,1706523281.580832,1706523281.582037,1706523281.6334574,500
nltzc,2495,vectorized_logs,1706523281.7602851,1706523281.7608142,1706523281.7815716,1706523281.7828145,1706523281.8316777,405
nltzc,2496,vectorized_logs,1706523281.9611516,1706523281.9616764,1706523281.9827247,1706523281.9840775,1706523282.0330744,407
nltzc,2497,vectorized_logs,1706523282.162003,1706523282.1625125,1706523282.183993,1706523282.1853127,1706523282.237106,406
nltzc,2498,vectorized_logs,1706523282.3627574,1706523282.3632548,1706523282.3838065,1706523282.3850496,1706523282.4313693,399
nltzc,2499,vectorized_logs,1706523282.5636013,1706523282.564096,1706523282.5844855,1706523282.5856328,1706523282.6438167,392
nltzc,2500,vectorized_logs,1706523282.7643437,1706523282.7648194,1706523282.7850761,1706523282.7863388,1706523282.8461485,403
nltzc,2501,vectorized_logs,1706523282.965078,1706523282.9655688,1706523282.9861603,1706523282.987285,1706523283.0427616,405
nltzc,2502,vectorized_logs,1706523283.1658359,1706523283.1663687,1706523283.1885192,1706523283.1896656,1706523283.2357225,410
nltzc,2503,vectorized_logs,1706523283.3666558,1706523283.3671744,1706523283.3876462,1706523283.388764,1706523283.4365375,409
nltzc,2504,vectorized_logs,1706523283.5674052,1706523283.5680964,1706523283.58879,1706523283.5899682,1706523283.6456115,504
nltzc,2505,vectorized_logs,1706523283.7681894,1706523283.7686882,1706523283.7892935,1706523283.7905204,1706523283.8480139,405
nltzc,2506,vectorized_logs,1706523283.9689448,1706523283.9694357,1706523283.9913218,1706523283.9924657,1706523284.042129,402
nltzc,2507,vectorized_logs,1706523284.1696858,1706523284.1701853,1706523284.1912198,1706523284.192606,1706523284.2498913,401
nltzc,2508,vectorized_logs,1706523284.3704295,1706523284.3711088,1706523284.3923435,1706523284.393614,1706523284.4490995,401
nltzc,2509,vectorized_logs,1706523284.5712976,1706523284.572137,1706523284.5922732,1706523284.593556,1706523284.6483057,509
nltzc,2510,vectorized_logs,1706523284.7721493,1706523284.7726402,1706523284.793126,1706523284.794308,1706523284.8460279,400
nltzc,2511,vectorized_logs,1706523284.9729397,1706523284.9734306,1706523284.9939988,1706523284.9950986,1706523285.043019,403
nltzc,2512,vectorized_logs,1706523285.1737757,1706523285.174277,1706523285.1952474,1706523285.1963842,1706523285.250269,401
nltzc,2513,vectorized_logs,1706523285.3745425,1706523285.3750427,1706523285.3963087,1706523285.3973494,1706523285.4457428,403
nltzc,2514,vectorized_logs,1706523285.5753772,1706523285.576473,1706523285.5976608,1706523285.5985556,1706523285.646279,508
nltzc,2515,vectorized_logs,1706523285.7762706,1706523285.776769,1706523285.7973948,1706523285.7983623,1706523285.8476133,408
nltzc,2516,vectorized_logs,1706523285.9771194,1706523285.9776108,1706523285.998271,1706523285.9994135,1706523286.0574515,400
nltzc,2517,vectorized_logs,1706523286.1778674,1706523286.1783679,1706523286.1987367,1706523286.1999798,1706523286.2508855,395
nltzc,2518,vectorized_logs,1706523286.3786886,1706523286.3791637,1706523286.3998938,1706523286.401156,1706523286.4564545,395
nltzc,2519,vectorized_logs,1706523286.5794373,1706523286.5799892,1706523286.600341,1706523286.6015122,1706523286.6590703,403
nltzc,2520,vectorized_logs,1706523286.7803483,1706523286.780874,1706523286.801357,1706523286.8025224,1706523286.8552725,406
nltzc,2521,vectorized_logs,1706523286.9812124,1706523286.9816973,1706523287.0022106,1706523287.003419,1706523287.0539052,398
