id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
8bkbp,29,anomaly,1706719754.9967096,1706719760.893072,1706719761.272632,1706719761.273594,1706719761.274026,77
8bkbp,30,anomaly,1706719755.1987739,1706719761.273378,1706719761.6547692,1706719761.6557357,1706719761.656159,77
8bkbp,31,anomaly,1706719755.399454,1706719761.655698,1706719762.0542414,1706719762.055124,1706719762.0555089,77
8bkbp,32,anomaly,1706719755.6039946,1706719762.0550334,1706719762.460787,1706719762.4619591,1706719762.4625142,77
8bkbp,33,anomaly,1706719755.8047483,1706719762.4616888,1706719762.856891,1706719762.8578873,1706719762.8582761,77
8bkbp,34,anomaly,1706719756.0079906,1706719762.8577995,1706719763.2550602,1706719763.2560933,1706719763.256476,77
8bkbp,35,anomaly,1706719756.2087781,1706719763.2560537,1706719763.6453469,1706719763.6462893,1706719763.6466782,77
8bkbp,36,anomaly,1706719756.4120295,1706719763.646145,1706719764.0452123,1706719764.0462844,1706719764.0466745,77
8bkbp,37,anomaly,1706719756.6126525,1706719764.0464032,1706719764.4421372,1706719764.4431627,1706719764.443557,77
8bkbp,38,anomaly,1706719756.8160183,1706719764.4429896,1706719764.8349562,1706719764.8360019,1706719764.8364434,77
8bkbp,39,anomaly,1706719757.016696,1706719764.8357635,1706719765.2209084,1706719765.2219388,1706719765.2223258,77
8bkbp,40,anomaly,1706719757.2199855,1706719765.2217262,1706719765.624331,1706719765.6253405,1706719765.6268945,77
8bkbp,41,anomaly,1706719757.4208233,1706719765.6251876,1706719766.027267,1706719766.028084,1706719766.0284765,77
8bkbp,42,anomaly,1706719757.6240127,1706719766.028167,1706719766.4148886,1706719766.4158583,1706719766.416234,77
8bkbp,43,anomaly,1706719757.8248038,1706719766.4157941,1706719766.8014226,1706719766.8024333,1706719766.8028247,77
8bkbp,44,anomaly,1706719758.027977,1706719766.8023274,1706719767.1818666,1706719767.1829057,1706719767.1833124,77
8bkbp,45,anomaly,1706719758.2290304,1706719767.1827068,1706719767.5720148,1706719767.5730944,1706719767.5734851,77
8bkbp,46,anomaly,1706719758.4319654,1706719767.5728114,1706719767.9672685,1706719767.9682088,1706719767.9686143,77
8bkbp,47,anomaly,1706719758.632669,1706719767.9681118,1706719768.3696573,1706719768.3706453,1706719768.3710396,77
8bkbp,48,anomaly,1706719758.8360233,1706719768.3704524,1706719768.7561104,1706719768.7570796,1706719768.7574747,77
8bkbp,49,anomaly,1706719759.0399654,1706719768.7569034,1706719769.159766,1706719769.164414,1706719769.164815,77
8bkbp,50,anomaly,1706719759.2439556,1706719769.1605277,1706719769.5801084,1706719769.5817127,1706719769.5821118,77
8bkbp,51,anomaly,1706719759.4479632,1706719769.5808983,1706719769.958422,1706719769.9593956,1706719769.9597971,77
8bkbp,52,anomaly,1706719759.6518989,1706719769.9593349,1706719770.353737,1706719770.3546429,1706719770.3550217,77
8bkbp,53,anomaly,1706719759.855977,1706719770.3546612,1706719770.7304757,1706719770.7314436,1706719770.7318695,77
